Question ID,Question Text,Category,Tag,N Responses,Avg Agreement (All),Median Agreement (All),Proportion Positive Sentiment,Proportion Negative Sentiment,All (Frequency),Do you feel like you understand yourself better after participating in this conversation?: -- (Frequency),Do you feel like you understand yourself better after participating in this conversation?: Maybe a little (Frequency),Do you feel like you understand yourself better after participating in this conversation?: No (Frequency),Do you feel like you understand yourself better after participating in this conversation?: Yes (Frequency),"Do you feel you were able to fully express your views on your culture, your values, and what you want for the future in this conversation? (through what you responded and how you voted): -- (Frequency)","Do you feel you were able to fully express your views on your culture, your values, and what you want for the future in this conversation? (through what you responded and how you voted): Mostly – I was able to mostly express my views on these topics, but did not have the chance to express a few things. (Frequency)","Do you feel you were able to fully express your views on your culture, your values, and what you want for the future in this conversation? (through what you responded and how you voted): No – I was unable to express my views on these topics, and did not have the chance to express most things. (Frequency)","Do you feel you were able to fully express your views on your culture, your values, and what you want for the future in this conversation? (through what you responded and how you voted): Somewhat – I was able to somewhat express my views on these topics, but did not have the chance to express many things. (Frequency)","Do you feel you were able to fully express your views on your culture, your values, and what you want for the future in this conversation? (through what you responded and how you voted): Yes – I was able to fully express my views on these topics (Frequency)",How old are you?: 18-25 (Frequency),How old are you?: 26-35 (Frequency),How old are you?: 36-45 (Frequency),How old are you?: 46-55 (Frequency),How old are you?: 56-65 (Frequency),How old are you?: 65+ (Frequency),How old are you?: Less than 18 (Frequency),"Overall, would you say the increased use of artificial intelligence (AI) in daily life makes you feel…: Equally concerned and excited (Frequency)","Overall, would you say the increased use of artificial intelligence (AI) in daily life makes you feel…: More concerned than excited (Frequency)","Overall, would you say the increased use of artificial intelligence (AI) in daily life makes you feel…: More excited than concerned (Frequency)",Please select your preferred language:: Arabic (Frequency),Please select your preferred language:: Chinese (China) (Frequency),Please select your preferred language:: English (Frequency),Please select your preferred language:: French (Frequency),Please select your preferred language:: Hindi (Frequency),Please select your preferred language:: Portuguese (Frequency),Please select your preferred language:: Russian (Frequency),Please select your preferred language:: Spanish (Frequency),What best describes where you live?: Rural (Frequency),What best describes where you live?: Suburban (Frequency),What best describes where you live?: Urban (Frequency),What is your gender?: Female (Frequency),What is your gender?: Male (Frequency),What is your gender?: Non-binary (Frequency),What is your gender?: Other / prefer not to say (Frequency),What religious group or faith do you most identify with?: Buddhism (Frequency),What religious group or faith do you most identify with?: Christianity (Frequency),What religious group or faith do you most identify with?: Hinduism (Frequency),What religious group or faith do you most identify with?: I do not identify with any religious group or faith (Frequency),What religious group or faith do you most identify with?: Islam (Frequency),What religious group or faith do you most identify with?: Judaism (Frequency),What religious group or faith do you most identify with?: Other religious group (Frequency),What religious group or faith do you most identify with?: Sikhism (Frequency),Would these things experts believe could help people make a positive difference in your life?: -- (Frequency),Would these things experts believe could help people make a positive difference in your life?: Maybe – these things might make some positive difference in my life (Frequency),Would these things experts believe could help people make a positive difference in your life?: No – these things won’t really make any difference in my life (Frequency),Would these things experts believe could help people make a positive difference in your life?: Yes – these things would definitely make a large positive difference in my life (Frequency)
0e9cc226-d1d4-4ac3-bdd3-80dc542579d2,What are the first decisions in your life that you would delegate to an AI?,Career and Education,Career and education planning,57,0.5230,0.5300,0.1404,0.0175,57,6,16,2,33,6,16,0,0,35,25,19,10,3,0,0,0,37,1,19,1,4,46,0,0,1,3,2,2,13,42,37,20,0,0,1,22,6,13,12,3,0,0,0,21,2,34
0e9cc226-d1d4-4ac3-bdd3-80dc542579d2,What are the first decisions in your life that you would delegate to an AI?,Career and Education,Personalized learning and tutoring,35,0.5480,0.5600,0.2571,0.0000,35,5,13,3,14,5,12,0,2,16,16,7,8,3,0,1,0,16,7,12,0,1,27,0,0,1,4,2,3,12,20,22,13,0,0,0,15,2,13,5,0,0,0,0,15,2,18
0e9cc226-d1d4-4ac3-bdd3-80dc542579d2,What are the first decisions in your life that you would delegate to an AI?,Career and Education,Professional development and skill enhancement,21,0.5471,0.5500,0.2381,0.0000,21,3,8,0,10,3,7,0,0,11,7,5,8,0,1,0,0,12,2,7,0,0,17,0,0,1,2,1,0,5,16,9,12,0,0,1,8,5,2,4,1,0,0,0,8,1,12
0e9cc226-d1d4-4ac3-bdd3-80dc542579d2,What are the first decisions in your life that you would delegate to an AI?,Communication and Social Interaction,Real-time language translation,12,0.5300,0.5250,0.0000,0.0000,12,2,5,0,5,2,3,0,0,7,3,6,1,0,2,0,0,7,2,3,0,4,5,0,0,0,1,2,2,7,3,5,6,0,1,0,1,0,9,2,0,0,0,0,5,3,4
0e9cc226-d1d4-4ac3-bdd3-80dc542579d2,What are the first decisions in your life that you would delegate to an AI?,Communication and Social Interaction,Social interaction and communication aids,15,0.5353,0.5400,0.0667,0.0000,15,1,6,0,8,1,3,0,2,9,2,9,3,0,1,0,0,9,0,6,0,3,11,0,0,0,0,1,2,2,11,9,6,0,0,1,6,4,4,0,0,0,0,0,9,0,6
0e9cc226-d1d4-4ac3-bdd3-80dc542579d2,What are the first decisions in your life that you would delegate to an AI?,Entertainment and Leisure,Content creation and creative assistance,45,0.5636,0.5700,0.0889,0.0000,45,6,6,1,32,6,9,0,1,29,20,17,4,4,0,0,0,22,6,17,0,9,34,0,0,0,1,1,1,10,34,20,24,1,0,3,11,8,13,9,0,0,1,0,19,4,22
0e9cc226-d1d4-4ac3-bdd3-80dc542579d2,What are the first decisions in your life that you would delegate to an AI?,Entertainment and Leisure,Personalized entertainment and leisure activities,12,0.5433,0.5500,0.1667,0.0000,12,0,7,0,5,0,3,0,0,9,4,6,0,1,1,0,0,7,2,3,0,1,9,0,0,0,0,2,0,3,9,6,6,0,0,0,2,0,6,3,1,0,0,0,6,0,6
0e9cc226-d1d4-4ac3-bdd3-80dc542579d2,What are the first decisions in your life that you would delegate to an AI?,Entertainment and Leisure,Travel planning and logistics,45,0.5435,0.5600,0.0870,0.0000,45,6,15,2,22,6,12,0,0,27,10,24,7,2,2,0,0,22,3,20,0,10,32,0,0,1,1,1,6,10,29,24,21,0,0,2,11,3,16,12,0,0,1,0,23,1,21
0e9cc226-d1d4-4ac3-bdd3-80dc542579d2,What are the first decisions in your life that you would delegate to an AI?,Environmental and Sustainability,Environmental management and sustainability,17,0.5441,0.5500,0.1176,0.0000,17,0,6,0,11,0,3,0,1,13,4,6,5,2,0,0,0,9,1,7,0,2,14,0,0,0,0,1,3,5,9,6,11,0,0,0,8,1,5,1,1,0,1,0,7,0,10
0e9cc226-d1d4-4ac3-bdd3-80dc542579d2,What are the first decisions in your life that you would delegate to an AI?,Financial Management,Financial budgeting and expense tracking,63,0.5523,0.5600,0.1250,0.0000,63,6,17,3,37,6,18,0,2,37,26,25,10,1,1,0,0,32,8,23,1,2,47,2,0,0,2,9,8,13,42,29,32,2,0,0,23,8,21,7,2,2,0,0,27,2,34
0e9cc226-d1d4-4ac3-bdd3-80dc542579d2,What are the first decisions in your life that you would delegate to an AI?,Financial Management,Financial management and investment strategies,138,0.5338,0.5500,0.0507,0.0072,138,12,42,3,81,12,33,1,3,89,48,48,23,11,6,2,0,78,6,54,1,6,113,3,2,5,0,8,8,40,90,62,75,1,0,2,49,20,35,27,1,4,0,0,51,3,84
0e9cc226-d1d4-4ac3-bdd3-80dc542579d2,What are the first decisions in your life that you would delegate to an AI?,Health and Wellness,Emotional and mental health support,8,0.4800,0.4600,0.3750,0.0000,8,0,4,0,4,0,3,0,1,4,2,6,0,0,0,0,0,5,0,3,1,0,6,0,0,1,0,0,2,2,4,4,4,0,0,0,6,1,0,1,0,0,0,0,3,0,5
0e9cc226-d1d4-4ac3-bdd3-80dc542579d2,What are the first decisions in your life that you would delegate to an AI?,Health and Wellness,Health management and preventive care,96,0.5308,0.5500,0.0312,0.0000,96,11,27,2,56,11,22,1,3,59,37,34,15,9,1,0,0,54,2,40,1,7,77,0,1,4,0,6,8,25,63,46,50,0,0,2,34,20,19,20,1,0,0,0,36,1,59
