Question ID,Question Text,Response Text,Min Agreement Rate,44+,55+,Africa,Asia,Central America,Central Asia,Eastern Africa,Eastern Asia,Eastern Europe,Europe,North America,Norther Europe,Northern Africa,Northern America,O2: 18-25,O2: 26-35,O2: 36-45,O2: 46-55,O2: 56-65,O3: Female,O3: Male,O4: Rural,O4: Suburban,O4: Urban,O5: Equally concerned and excited,O5: More concerned than excited,O5: More excited than concerned,O6: Buddhism,O6: Christianity,O6: Hinduism,O6: I do not identify with any religious group or faith,O6: Islam,O6: Judaism,O6: Other religious group,Oceania,South America,South Eastern Asia,Souther Asia,Southern Africa,Southern Europe,Western Asia,Western Europe
07476799-61d5-4e3d-b53b-04e2fc610c2d,"If you could make world leaders understand one thing, what would it be?",They need to listen to the people's opinions and stay out of other country's problems,0.4700,0.5700,0.5600,0.5400,0.5500,0.5000,0.7500,0.5200,0.4800,0.5400,0.5300,0.4800,0.4700,0.6400,0.4700,0.5200,0.5400,0.5300,0.5700,0.6300,0.5300,0.5400,0.6100,0.5400,0.5200,0.5500,0.5100,0.5200,0.5500,0.5400,0.6100,0.4900,0.5500,0.5000,0.5000,0.6500,0.5100,0.5200,0.5900,0.5800,0.6100,0.5100,0.5100
07476799-61d5-4e3d-b53b-04e2fc610c2d,"If you could make world leaders understand one thing, what would it be?","They should think about the benefit of all the communities that inhabit the planet, and not just for the benefit of their pockets or their egos.",0.4600,0.5500,0.5200,0.5600,0.5700,0.5500,0.7500,0.5400,0.5000,0.5700,0.5300,0.5300,0.5400,0.7600,0.5300,0.5500,0.5600,0.5500,0.5600,0.5300,0.5400,0.5700,0.5800,0.5600,0.5500,0.5900,0.5300,0.5000,0.5200,0.5400,0.6600,0.5200,0.5800,0.5600,0.5000,0.6000,0.4900,0.5600,0.6100,0.5300,0.4600,0.5100,0.5100
07476799-61d5-4e3d-b53b-04e2fc610c2d,"If you could make world leaders understand one thing, what would it be?",That it is good to eradicate poverty. ,0.4600,0.5700,0.5600,0.5100,0.5700,0.6000,0.6900,0.4900,0.5500,0.5400,0.5100,0.5600,0.5100,0.6100,0.5500,0.5300,0.5500,0.5500,0.5700,0.5300,0.5600,0.5200,0.6600,0.5200,0.5400,0.5700,0.5200,0.5000,0.6800,0.5400,0.5800,0.5200,0.5200,0.5000,0.6300,0.6000,0.4900,0.5300,0.5800,0.5800,0.5400,0.5500,0.4600
07476799-61d5-4e3d-b53b-04e2fc610c2d,"If you could make world leaders understand one thing, what would it be?","That every life matters, every human being has a dream and it is our duty to seek the development of our species without stepping on any other, not even our own.",0.4600,0.6000,0.5200,0.5400,0.5400,0.5000,0.6300,0.5500,0.4600,0.4900,0.5400,0.5000,0.5400,0.5500,0.5000,0.5100,0.5400,0.5400,0.6200,0.5800,0.5300,0.5500,0.5100,0.5400,0.5400,0.5600,0.5200,0.5000,0.4800,0.5400,0.6300,0.5200,0.5200,0.5000,0.5600,0.5500,0.5300,0.5600,0.5800,0.4700,0.5700,0.4700,0.5700
07476799-61d5-4e3d-b53b-04e2fc610c2d,"If you could make world leaders understand one thing, what would it be?",To work for the poor people in their country.,0.4600,0.5500,0.5200,0.5300,0.5400,0.5500,0.7500,0.5200,0.5000,0.5400,0.5100,0.4700,0.4700,0.6700,0.4600,0.4900,0.5300,0.5000,0.5600,0.5300,0.5100,0.5300,0.5200,0.4900,0.5200,0.5400,0.4600,0.5000,0.5800,0.5300,0.5600,0.4600,0.5300,0.5600,0.6300,0.5000,0.4600,0.4800,0.5500,0.4700,0.5700,0.5100,0.4600
07476799-61d5-4e3d-b53b-04e2fc610c2d,"If you could make world leaders understand one thing, what would it be?","they handle human life and their job is one that has no place for ego, their personal feelings should not matter in the face of the human life dependent on their decision making, they are no better than other people, they dont deserve life more than other people, selfishness should have no place in their role. they have a duty to serve the people and not the other way around",0.4500,0.6100,0.4800,0.5600,0.5600,0.5500,0.6300,0.5500,0.5200,0.5400,0.5600,0.5200,0.5400,0.6400,0.5100,0.5400,0.5500,0.5400,0.6500,0.4700,0.5500,0.5500,0.5400,0.5300,0.5600,0.5800,0.5400,0.5100,0.4800,0.5200,0.6300,0.5500,0.5600,0.5600,0.6300,0.4500,0.5400,0.5300,0.5900,0.5300,0.5400,0.4900,0.6200
07476799-61d5-4e3d-b53b-04e2fc610c2d,"If you could make world leaders understand one thing, what would it be?",Ensure that policies and technologies respect human rights and protect the privacy and dignity of individuals.,0.4500,0.6200,0.5900,0.5900,0.5500,0.5500,0.7500,0.5800,0.5500,0.4900,0.5600,0.5400,0.6100,0.6700,0.5300,0.5400,0.5400,0.5400,0.6200,0.5300,0.5300,0.5700,0.5400,0.5500,0.5500,0.5600,0.5300,0.5300,0.5500,0.5600,0.5800,0.5300,0.5600,0.5000,0.5000,0.4500,0.4900,0.4700,0.5700,0.5800,0.6100,0.4500,0.4900
07476799-61d5-4e3d-b53b-04e2fc610c2d,"If you could make world leaders understand one thing, what would it be?","They should understand they are not better than anyone else and must work for the benefit of society, not themselves",0.4500,0.5700,0.5600,0.5600,0.5500,0.6000,0.7500,0.5500,0.4800,0.5400,0.5700,0.4800,0.5400,0.6700,0.4600,0.5400,0.5500,0.5200,0.5700,0.5800,0.5200,0.5700,0.4800,0.5000,0.5700,0.5600,0.5300,0.5100,0.4500,0.5200,0.6200,0.5300,0.5500,0.5600,0.6300,0.4500,0.5200,0.5200,0.5800,0.5300,0.6100,0.5100,0.5900
07476799-61d5-4e3d-b53b-04e2fc610c2d,"If you could make world leaders understand one thing, what would it be?",That their people need their aid not corporations or other nations but their own people ,0.4500,0.5400,0.4800,0.5700,0.5600,0.5500,0.8100,0.5500,0.4600,0.5400,0.5400,0.4600,0.4700,0.7000,0.4500,0.5300,0.5400,0.5300,0.5600,0.4700,0.5500,0.5300,0.5800,0.5200,0.5400,0.5500,0.5300,0.5200,0.4500,0.5300,0.6400,0.4900,0.5800,0.5600,0.5000,0.6000,0.4600,0.5100,0.6000,0.5800,0.5700,0.5100,0.6200
07476799-61d5-4e3d-b53b-04e2fc610c2d,"If you could make world leaders understand one thing, what would it be?",There is nothing more valuable than human life,0.4500,0.6200,0.5900,0.5500,0.5400,0.5000,0.6300,0.5600,0.4700,0.5400,0.5500,0.5300,0.5400,0.5800,0.5400,0.5200,0.5300,0.5300,0.6200,0.6300,0.5300,0.5400,0.4600,0.5400,0.5500,0.5500,0.5000,0.5200,0.4800,0.5300,0.6200,0.5100,0.5500,0.5600,0.5600,0.4500,0.5100,0.5500,0.5700,0.5300,0.5700,0.4500,0.5400
0d2fce0f-3df8-4dfd-85a9-81e4ffaccdf8,"What is something unique, that other people might not think about, but that you really want to be true about the future? Choose one thing, and be as specific and objective as possible.",Empowerment of citizens to create wealth in order to live comfortable lives,0.5000,0.5400,0.5400,0.5700,0.5200,0.7100,0.5900,0.5500,0.5700,0.5100,0.5400,0.5800,0.5500,0.5800,0.5600,0.5200,0.5600,0.5500,0.5400,0.5000,0.5500,0.5400,0.5900,0.5600,0.5300,0.5600,0.5600,0.5000,0.5500,0.5500,0.5400,0.5500,0.5100,0.5600,0.5000,0.5500,0.5200,0.5000,0.5100,0.6500,0.5000,0.5200,0.5800
