Participant ID,ResponseText,Sentiment,Tag 1,Tag 2,Tag 3,Tag 4,Tag 5,Tag 6,Tag 7,Tag 8,Tag 9,Tag 10
73e41ff3-408c-402a-8ec1-d62f17a00b45,Advice on how to do something illegal or harmful to others,Neutral,Harmful or violent behavior,Illegal activities and crime,,,,,,,,
99a6597a-b647-4dd7-a627-a557e31212a3,"Advice related to politics and political views.

",Negative,Politics and political opinions,,,,,,,,,
76952023-3cec-48d4-b898-e3b4f08da77b,Any form of abuse,Negative,Advice that could cause harm or danger,,,,,,,,,
7182b0f7-eaba-446e-bafe-bdccd9060bed,Crime or providing ideas for crime,Neutral,Illegal activities and crime,,,,,,,,,
4f8ce07e-8b8d-4c54-b7c1-491c6ddb549f,Gives information or advice to harm another living being.,Neutral,Advice that could cause harm or danger,,,,,,,,,
1e7d9f82-7a8c-458a-8e79-cfa6b64dcf15,"Harmful to humans, misleading, or tempting people to harm others, harm the environment, break the law, or encourage violence.",Negative,Advice that could cause harm or danger,Harmful or violent behavior,Illegal activities and crime,,,,,,,
13a53c0a-120c-4586-a5ca-7df2e90d7b18,How to self harm,Negative,Self-harm and suicide,,,,,,,,,
5e3c2c86-66cc-4517-90ae-5502ab7228e4,"Molestation,self harm vienne murder sex


",Negative,Harmful or violent behavior,Self-harm and suicide,Sexual content and nudity,Violence and weapons,,,,,,
ea0e7228-ae50-4d95-bf59-f19f9cc9f764,On murder mostly and how to hurt someone ,Neutral,Harmful or violent behavior,Violence and weapons,,,,,,,,
e9c36504-7913-45f9-8f0b-63de585f6612,immoral advices,Negative,Ethical and moral issues,,,,,,,,,
fa75a817-82c9-4a72-8d7a-0686331fd8db,Advice on any thing that could cause harm to people,Neutral,Advice that could cause harm or danger,,,,,,,,,
641b9365-b95c-423c-ad35-11520ce0c3a5,Advice on being rude,Negative,Advice that could cause harm or danger,,,,,,,,,
3022868c-0d74-4db9-a34d-04aec263f33a,"Advice on personal relationships or sex, attempt to sway moral values, opinions on religion/faith.",Negative,Ethical and moral issues,Personal relationships and family matters,Religion and religious beliefs,Sexual content and nudity,,,,,,
a6907ea9-f39e-47ee-9c61-1c15c99765a9,Advice on politics,Negative,Politics and political opinions,,,,,,,,,
05f2be1f-6191-402d-bb9e-9ecabd593379,Advice on ways to undertake harm to oneself or other people.,Neutral,Advice that could cause harm or danger,,,,,,,,,
a46c16de-86d1-45a4-bdb2-540b9d6d8b12,Advice that encourages illegal actions.,Negative,Illegal activities and crime,,,,,,,,,
