theme,cosine_similarity,English Responses,Question ID,Question,Participant ID,run_id,timestamp
cultural integrity and diversity,0.6275640363746366,integrity and honesty,387627e5-48a0-47e6-b740-6a74330c7ccf,Imagine you're working with an AI assistant on important tasks in your life. What principles or values would you want this AI to consistently demonstrate in all its interactions?,2d500f70-3f6d-4395-8ecc-d29fcf742343,ee473244,20250520_145232
cultural integrity and diversity,0.6253085454473671,traditional and cultural are what make human diversity,4ff79b4a-e03a-440e-8367-fd1a48c58d56,What role should traditional or cultural knowledge play when an AI is helping solve problems in your community?,8f009995-c6e2-40db-acad-ac4c63a0b6b9,ee473244,20250520_145232
cultural integrity and diversity,0.6201974487363588,making sure the cultural aspect of the community is respected and followed.,4ff79b4a-e03a-440e-8367-fd1a48c58d56,What role should traditional or cultural knowledge play when an AI is helping solve problems in your community?,58dea75b-9987-42a6-b443-c6cd932e2646,ee473244,20250520_145232
cultural integrity and diversity,0.6124006779541402,accepting the all cultures ,4ff79b4a-e03a-440e-8367-fd1a48c58d56,What role should traditional or cultural knowledge play when an AI is helping solve problems in your community?,7eaf00b1-9737-4cc9-9557-065b1024f62e,ee473244,20250520_145232
cultural integrity and diversity,0.611413327730242,authenticity of my culture,be954f04-5ef3-428c-97a7-cd0fa44ad182,Is there anything about your life or your cultures that you would like your AI to know about you?,c8542667-633b-4327-801e-41d9347a8813,ee473244,20250520_145232
cultural integrity and diversity,0.6049575592254188,respect for cultural and religious values is very important in our culture. also human rights and equality are universal values.,4ff79b4a-e03a-440e-8367-fd1a48c58d56,What role should traditional or cultural knowledge play when an AI is helping solve problems in your community?,6efcd19a-a0d6-416e-9a2f-50332f00c162,ee473244,20250520_145232
cultural integrity and diversity,0.6029712059487276,Cultural diversity and modification ,722cf427-d884-477e-94a7-5c734b30acba,"What topics or types of advice should an AI never give in your cultural context, even if asked?",fe3a74c8-fbab-4225-9ca2-529f23f0f810,ee473244,20250520_145232
cultural integrity and diversity,0.5962943091274419,"incorporate diversity, Engage with cultural experts, tailor communication, be open to feedback and acknowledge limitations",db83c655-224a-47ed-a49b-9ab2f0769a48,What aspects of your culture might be misunderstood by an AI system trained primarily on Western data? How should the AI adapt?,6a8ba57d-a791-4871-9d6a-c90b704c9a75,ee473244,20250520_145232
cultural integrity and diversity,0.5910573885466661,respectfully acknowleding cultural sentiments but staying true to the facts,8f8d38fa-62b9-4c7a-ba0c-194d6cad5f90,How should an AI assistant demonstrate that it understands and respects your cultural heritage while still being helpful with modern tasks?,e2e859fd-a7c1-49ee-9945-c64175c5f861,ee473244,20250520_145232
cultural integrity and diversity,0.5895357470361222,Respect for tradition and culture,cf206ae4-b974-45df-a16f-87e176981dbc,"In your community, what makes someone a trustworthy advisor? Please describe specific behaviors or qualities that build trust",d0f7a585-bc17-4495-8c94-0104e73675fb,ee473244,20250520_145232
