Participant ID,ResponseText,Sentiment,Tag 1,Tag 2,Tag 3,Tag 4,Tag 5
4715a346-e9aa-4178-b261-324c5cc41bf7,"Diversity of opinions and perspectives, it is through our differences that we create new things",Neutral,Loss of cultural diversity and richness,,,,
9079019b-0a03-489c-b14e-602654024759,the interpersonal relationships that we form with other people now,Neutral,Diminished human interaction and connection,,,,
ca3dfdbf-3eb6-4d16-887c-12f162ecc931,Being connected to others,Neutral,Diminished human interaction and connection,,,,
76430017-397f-4fa0-9d6f-8b876b8c790b,Family closeness. Native languages. Solidarity between people.,Neutral,Diminished human interaction and connection,Impact on family and community bonds,Loss of language diversity and dialects,,
aa8724e9-a5d5-4414-973f-613691507741,"Human connection, face-to-face communication",Neutral,Diminished human interaction and connection,,,,
f58e2ea7-4c13-4ada-b9cf-13014f7bd59d,Humans have unique empathy and a diverse language system,Neutral,Loss of empathy and compassion,Loss of language diversity and dialects,,,
eb6eae68-e54d-4fb2-8f5d-c90fcea94b04,"The closeness of human relationships,",Neutral,Diminished human interaction and connection,,,,
7638b5d2-823d-4af2-b0dc-a9ca79817c01,The interpersonal connection.,Neutral,Diminished human interaction and connection,,,,
997858d5-6fa2-4662-a5ff-c03932da23b2,The sense of togetherness because with more advancement people might be recording the usual rituals in the system and avoid togetherness with their respective families and elders and  consider performing the rituals on their own just like a formality or to save time considering it a good time saving option most of the time which will lack the basic sense of cultural scenario for what they were made for.,Neutral,Diminished human interaction and connection,Loss of cultural community and togetherness,Loss of cultural traditions and rituals,,
28cc0c3d-71f4-4db1-a403-8cd020855202,The tradition of folk arts and local crafts,Neutral,Erosion of traditional arts and crafts,,,,
9aa1f17d-05a5-4556-b2ad-f556f8fffa6f,"	Traditional Crafts and Art Forms: Skills and techniques in traditional crafts, such as weaving, pottery, and hand-carving, might decline if not actively practiced and preserved.	 Oral Histories and Stories: Stories, folklore, and oral traditions that are passed down through generations could be diminished if they aren’t recorded and maintained.

",Neutral,Erosion of traditional arts and crafts,Impact on traditional storytelling and oral traditions,,,
bce5917a-e426-4fe7-b64a-4c3ca8c8342a,"Consolidation of traditions and culture

",Neutral,Loss of cultural traditions and rituals,,,,
a6a9a8f2-538c-485e-aa8f-d7d2ef724486,"Family Tree - Genealogy
Native Language
Dressing
Morals",Neutral,Impact on traditional clothing and fashion,Loss of cultural values and morals,Loss of language diversity and dialects,,
935e890e-2619-4531-bf91-14a6e64680c8,Handicrafts,Neutral,Erosion of traditional arts and crafts,,,,
34561e37-000d-49b9-a24e-5fd30e871c5d,"How we actually express our selves, how we as culture express love, sadness, happiness and its different from other cultures like west or Americans ",Neutral,Impact on artistic expression and creativity,Other,,,
52b1d6ba-1b09-46bd-b653-6bbf2ccd4b48,Human connection,Neutral,Diminished human interaction and connection,Loss of cultural community and togetherness,,,
eab12621-7fb9-4c15-956c-6ea5dfcd305a,Human connection ,Neutral,Diminished human interaction and connection,,,,
ea3601ab-19de-45d1-9f45-eb6cc601f0cf,Human connection ,Neutral,Diminished human interaction and connection,,,,
e8672587-cd06-45e5-a517-101b215da054,I think celebration or tradition people are mostly like robot ,Neutral,Loss of cultural community and togetherness,Loss of cultural traditions and rituals,,,
52481a77-bdc3-4bb4-b92e-8ec237b5396a,"Individuality. People can lose how they act, look, and speak in pursuit of being ""one"" with other people.",Neutral,Loss of cultural identity and uniqueness,,,,
d79fa33b-0f42-49b5-8d48-fd38cf4c5e88,It should be the interaction and trust between people,Neutral,Diminished human interaction and connection,,,,
ab5f766b-49ed-4149-8c97-b2ca1b95fa42,Language. Emotions. Soul ,Neutral,Loss of empathy and compassion,Loss of language diversity and dialects,,,
9776a45b-0781-4908-ae0b-ddd3f8717392,"Local customs and traditions include practices, rituals, and ways of interacting that are deeply embedded in the social fabric of a community. These can be incredibly subtle and context-dependent, shaped by historical experiences, local environments, and unique cultural influences.",Neutral,Loss of cultural traditions and rituals,,,,
d294c52b-0497-4ff0-8a8a-5dd001017c77,Reasoning processes in decision making. Each culture has different ways of thinking when analyzing problems.,Neutral,Loss of cultural values and morals,Other,,,
45fc2d5e-0a7d-4424-9e98-b6418aa5e40b,Sociability and interactions ,Neutral,Diminished human interaction and connection,,,,
549317e5-b90f-4c59-94a4-23fb5b1ce5bf,"Solidarity, empathy and kindness",Positive,Loss of empathy and compassion,,,,
b05429a8-5b0b-485e-ad2f-d24dc6b67d23,"Some intangible cultural heritage handicrafts

",Neutral,Erosion of traditional arts and crafts,,,,
59700db4-cecd-4d91-96f4-34aedc65e32e,"The ability to plan and design in a fluid way, adapting as time passes, where traditional crafts are concerned",Positive,Erosion of traditional arts and crafts,,,,
1190bff6-3e73-4ac3-a167-41868c6fbb5e,The appreciation for indivudual differences,Positive,Loss of cultural identity and uniqueness,,,,
a9e7df2a-f03e-4a0c-9a89-713ee78081a3,The connection between people in real time ,Neutral,Diminished human interaction and connection,,,,
74329a43-d610-43b4-86d3-0e4d75f8b38c,The togetherness and connection between people.,Neutral,Diminished human interaction and connection,,,,
bd3cff3a-badc-4cc1-b391-09c2e3eac801,Traditional Culture,Neutral,Loss of cultural traditions and rituals,,,,
76b7a0cd-7a05-4512-8cf9-4df719f55116,"Traditional art, handmade cultural work, authentic art",Positive,Erosion of traditional arts and crafts,,,,
73f5b618-2750-405a-8e4d-1138eea2741d,"Traditions, diversity, community values and artistic expression",Neutral,Impact on artistic expression and creativity,Loss of cultural diversity and richness,Loss of cultural traditions and rituals,,
57554fbb-017a-461b-8bea-2e22f8831801,"Traditions, special mentality.",Neutral,Loss of cultural traditions and rituals,,,,
03264753-3ca5-40cd-8799-452b749a42cb,Understand different cultures and backgrounds. The ability to relate to certain languages and beliefs. ,Neutral,Bias towards dominant languages and cultures,Loss of language diversity and dialects,,,
837b7061-fb1c-4a6f-8ce8-f72bf9a09d87,Unique local culture,Positive,Loss of cultural identity and uniqueness,,,,
6c1bbf7f-0434-47ab-a8b1-51adde31815f,Uniqueness in each culture,Neutral,Loss of cultural identity and uniqueness,,,,
43de481a-e5a2-4a03-8b47-c0d7437869be,"art aspects: folk music, painting and great writers ",Positive,Erosion of traditional arts and crafts,Impact on artistic expression and creativity,Impact on traditional music and dance,,
0c6b6d11-f737-4587-b13a-e9464185f886,human connection,Neutral,Diminished human interaction and connection,,,,
84c164b5-dff4-4efc-a81d-2e3e7b630df3,"local cultures and traditions

",Neutral,Loss of cultural traditions and rituals,,,,
7382db6a-f984-44c4-83c6-2ea3c9edf05b,mixing up cultures and sacred practices ,Neutral,Homogenization of culture,Impact on religious and spiritual practices,,,
e61e56f6-0316-4e24-9280-d72d4bb24a2e,"traditions, customs and essence, values and respect",Neutral,Loss of cultural practices and customs,Loss of cultural traditions and rituals,Loss of cultural values and morals,,
02f9efad-c1f2-43ec-818b-d0e0f49906f5,"1.Languages and Oral Traditions: The richness of cultural expression and historical continuity may be diminished as traditional storytelling, proverbs, and languages become less common as people depend more and more on digital communication and translation tools. 
2.Traditional Crafts and Artistry: AI-driven automation as well as mass production may become more important than traditional artisanal abilities leading to a loss of cultural artistic legacy.",Neutral,Erosion of traditional arts and crafts,Impact on traditional storytelling and oral traditions,Loss of cultural heritage and legacy,Loss of language diversity and dialects,
2d7ec4ab-ad47-4284-b9b6-108a6e603bd8,"Artists, new music, creative movies",Positive,Impact on artistic expression and creativity,Impact on traditional music and dance,,,
dca43f28-9303-4c69-b235-0164da8b544f,Cultural aspects,Neutral,Other,,,,
6d1ba170-a27d-4192-9ae4-c117375432bc,"Cultural differences, I think, are something that should be maintained and preserved.

Language, art and gastronomy",Neutral,Loss of cultural diversity and richness,Loss of cultural traditions and rituals,Loss of language diversity and dialects,,
a39ad32c-0777-4e36-91e1-b6cb23ba325d,Cultural differences.,Neutral,Loss of cultural diversity and richness,,,,
c68ea86e-8721-4352-b89f-5e01cb9eca74,Differences in holidays and celebrations from culture to culture,Neutral,Impact on traditional festivals and celebrations,,,,
cddea077-1381-4504-a4f5-f0f4605c82d9,"Empathy, social support, festivals and hospitality ",Neutral,Impact on traditional festivals and celebrations,Loss of empathy and compassion,,,
36c86edf-1fe5-43b8-84a5-50354eef3fe0,"Gender Roles and Identity:
    - Cultural Norms: Understanding diverse gender roles and expressions can promote inclusivity and challenge stereotypes.",Neutral,Other,,,,
fa1f784d-24e3-406b-aa6f-9831eccde414,HELPING OTHERS,Neutral,Other,,,,
6c947e81-591c-4439-95a3-aaf9df92db2f,Human connection and everything in general ,Neutral,Diminished human interaction and connection,,,,
a0068255-2cd5-43a6-b931-1c28450ac9c8,Human contact,Neutral,Diminished human interaction and connection,,,,
9b797188-7d46-4a54-b4fe-2457ab80032e,I think interaction with people of other races may be lost as we interact more with robots instead of humans ,Negative,Diminished human interaction and connection,,,,
8f50f266-3c2e-4994-8b6f-4a3205de43c0,I think the religious factor people are more into technology and even if you try the hand made things are always unique ,Positive,Other,,,,
c9e2a02e-9b99-4b12-a6ad-013ad1bbbf91,Individual character building and rich cultural past heritage ,Neutral,Loss of cultural heritage and legacy,,,,
77854f62-873d-451c-bca5-26ad853f917a,Interaction among people ,Neutral,Diminished human interaction and connection,,,,
d7827d2f-3d29-48e9-bf99-8b4317568b42,Interactions and get togethers,Neutral,Diminished human interaction and connection,Loss of cultural community and togetherness,,,
f2aa8b36-8281-4c3a-b238-38fd083b0f2d,"I’m worried that the nuanced and deeply personal traditions of Italian culture, like local festivals, regional dialects, and artisanal crafts, might be overshadowed or homogenized by global technology. AI could prioritize widely-used languages and mainstream practices, potentially diminishing the unique aspects of smaller cultural practices and local traditions. Preserving these elements requires conscious effort to ensure technology respects and supports cultural diversity.",Neutral,Bias towards dominant languages and cultures,Homogenization of culture,Impact on cultural preservation and respect,Loss of cultural traditions and rituals,Loss of language diversity and dialects
373447d7-2bfd-45d9-84e9-d7923edd47b9,Language and art culture typical for our Finnish culture,Neutral,Impact on artistic expression and creativity,Loss of language diversity and dialects,,,
5f1f61c7-7c84-4057-8b68-e5f4a7fc6a70,Language and historical stories,Neutral,Loss of historical and cultural knowledge,Loss of language diversity and dialects,,,
dcc45427-9a7e-4b70-9080-2020dd736a59,"Language, traditional songs and stories that will be lost in translation, history of some people ",Neutral,Impact on traditional storytelling and oral traditions,Loss of historical and cultural knowledge,Loss of language diversity and dialects,,
f83bd29e-d573-4b18-842b-a9134a70a5b7,"Languages. There is so much history behind each language. If AI is only trained in a particular language, it will force people giving up their first language. ",Neutral,Loss of historical and cultural knowledge,Loss of language diversity and dialects,,,
2a2aa65e-8d00-493c-b7f3-adb8d5458176,"May be gatherings at places to talk because of various ai technology increases it worries that people may ""gatherings"" in video call ",Negative,Diminished human interaction and connection,,,,
5c12cac0-cc4f-4483-addf-0364503f5f33,Mostly our language. Cultural practices because some people might consider them to be old and mundane. They way we dress. The food that we eat,Neutral,Impact on traditional clothing and fashion,Impact on traditional food and culinary practices,Loss of cultural practices and customs,Loss of language diversity and dialects,
696c829b-a7b2-4612-a42e-b0283165a2fa,"Music, traditions, language",Neutral,Impact on traditional music and dance,Loss of cultural traditions and rituals,Loss of language diversity and dialects,,
3b87a2a3-3526-452b-82a4-2712da084f50,My mother tongue and clans.,Neutral,Loss of cultural community and togetherness,Loss of language diversity and dialects,,,
a35d6a65-e33b-4134-9604-296b72788ebe,People forgetting their mother tongue and only speaking in English. Losing touch with humans and staying in the virtual world all the time.,Negative,Diminished human interaction and connection,Loss of language diversity and dialects,,,
7547bb98-9cd6-4b84-9f63-b0d448e6dcec,"Phrases, sayings or words specific to an area",Neutral,Loss of language diversity and dialects,,,,
b93aa624-f10f-4c9a-a693-2277ead2d5ca,Respect to traditions,Neutral,Loss of cultural traditions and rituals,,,,
98d85016-85d9-4bd4-86be-b868b5504d0c,Social interaction ,Neutral,Diminished human interaction and connection,,,,
798d5765-2886-4a85-a129-b9a60c247ac9,THE LANGUAGE WHICH WE SPEAK IS DIFFERENT TO AI UNDERSTANDING.,Neutral,Loss of language diversity and dialects,,,,
4a9f8850-a6a2-4dea-96f6-1c6d7dc44d91,That AI becomes globalized in just one language and many of the authentic expressions that exist in many other languages that give people their identity are lost.,Negative,Bias towards dominant languages and cultures,Loss of language diversity and dialects,,,
881e0bdc-1fa3-4ff9-89bc-4b1f3d1dd1d6,The concept of human interaction and uity,Neutral,Diminished human interaction and connection,Loss of cultural community and togetherness,,,
88171568-e996-4ba5-8bd8-597c3cbd3033,The culture traditions,Neutral,Loss of cultural traditions and rituals,,,,
d53399c1-9a01-48c5-bb05-191a28c7657e,"The development of large language models has led to the gradual replacement of interpersonal communication by artificial intelligence, resulting in the gradual disappearance of human communication, communication in different languages, etc.",Neutral,Diminished human interaction and connection,Impact on cultural communication and language use,,,
ab6bbbc0-9a80-4edc-b3ba-f239d5560893,The fact that now they can imitate our hand-made craft work which I find unfair and worrying.,Negative,Erosion of traditional arts and crafts,,,,
06d9a392-a6fe-4fdc-8f03-d9bad2ddd523,The history of all countries told to the children in a way that it is remembered and passed down from father to son,Neutral,Loss of historical and cultural knowledge,,,,
defe9f78-534e-4680-aad1-c11078f8959d,"The intangible aspects of a people's culture: for example, gestures and vocal expressions",Neutral,Loss of cultural nuances and subtleties,,,,
75b624f3-8941-4ae9-ab22-61a2dfb54f69,"The language, good relationships between people, hospitality, empathy.",Positive,Diminished human interaction and connection,Loss of empathy and compassion,Loss of language diversity and dialects,,
e3e1da7a-86c0-423f-be03-70e96a727af1,The similarity with the other by tastes and desires,Neutral,Other,,,,
77c844c6-1f0b-48db-915d-19b7722bddd9,"The traditions, clothes, value of scriptures, value of old texts and customs",Neutral,Loss of cultural practices and customs,Loss of cultural traditions and rituals,,,
a97a40fc-c4ba-4e1e-8be0-c1782d78923b,"Traditional foods, traditional jewellery ",Neutral,Other,,,,
0fdd6f85-fabc-4eb0-96e2-8764e49e99e9,Traditional knowledge and experience of culture responsibility ,Positive,Loss of cultural practices and customs,,,,
85bb85a2-468c-4323-87a8-2fa859d5d55b,"Traditional practices, community rituals.",Neutral,Loss of cultural practices and customs,Loss of cultural traditions and rituals,,,
8ea76ac7-a6ea-4cf1-951e-a0bb443f624d,Traditions related to a more emotional aspect or collective memory. All the traditions and stories from Latin America that have already been displaced by the United States and Europe.,Neutral,Impact on traditional storytelling and oral traditions,Loss of cultural practices and customs,Loss of cultural traditions and rituals,,
e9c637c8-1f90-44e5-bd40-e9a1f78afa6e,focus on the sentimental traditional ways of doing this which are sacred to a specific community.,Neutral,Loss of cultural traditions and rituals,,,,
9219d0ad-e902-4881-b8c1-62b0999e92ee,handmade artifacts ,Neutral,Erosion of traditional arts and crafts,,,,
f6c08563-2c23-4f4a-9af9-fb0c2aa11186,local spiritual culture.,Neutral,Impact on religious and spiritual practices,,,,
f5c372b6-6518-456f-973c-e3c30f69e6fb,"original and unique arts such as poems, music, paintings.",Positive,Erosion of traditional arts and crafts,Impact on artistic expression and creativity,,,
84ba41a2-6d2b-465e-aac1-597feee9b2f0,our empathy. ,Neutral,Loss of empathy and compassion,,,,
94995cd6-fb4f-46f9-8181-e14a0008a071,people in the community working together as a team and the bonding ,Neutral,Impact on family and community bonds,,,,
50ea7d4e-0b99-4505-9cfa-58f4b1ef4d24,"traditional culture such as worshipping god, following traditional dressing sense. traditional cooking style, traditional sports
",Neutral,Impact on traditional clothing and fashion,Impact on traditional food and culinary practices,Loss of cultural traditions and rituals,,
5cecaa9e-0a35-41fe-9361-d70d48078cb4,Access to our traditional advice from our grandparents as technology has /will create a big gap between our generation and previous generations in terms of social class and closeness. ,Neutral,Impact on family and community bonds,Loss of historical and cultural knowledge,,,
51d40973-8706-47ee-9cae-aaac14e8fdcc,"Adapting to the way AI speaks other languages in those same locations, because it's dominated by the English language speakers",Neutral,Bias towards dominant languages and cultures,,,,
ef2af95a-7735-47f3-9dd3-9a1e818b8ace,"Ai has the capacity to standardize & automate which could affect on the local customs, rituals & due to this cultural identity may loss in the future preserving this elements is crucial",Neutral,Loss of cultural identity and uniqueness,Loss of cultural practices and customs,,,
6cba4510-a7d1-4077-a041-a3ffea5e0c5f,"Also language, certain meanings might be lost given the vast majority of media discourses are controlled by Eurocentric ideology",Negative,Bias towards dominant languages and cultures,Loss of language diversity and dialects,,,
52cbd553-a23f-4497-8cfd-61e19f560a97,Artistic and literature culture,Neutral,Erosion of traditional arts and crafts,Impact on artistic expression and creativity,,,
47911348-050b-4a42-b479-0b7233a40944,"As for the experience of communication between people, more people will directly ask artificial intelligence, reducing the interaction between people.",Neutral,Diminished human interaction and connection,,,,
e86fab18-721d-4b6d-86d6-c7cf1f524d30,Being taught your mother language ,Neutral,Loss of language diversity and dialects,,,,
edbbcfae-682a-44aa-973a-865fa622f3e6,Close knit cultures who are more about themselves than inclusiveness. ,Neutral,Loss of cultural identity and uniqueness,,,,
60dd9ca2-a515-4547-8ce5-eedd70eea1b8,Communication between people,Neutral,Diminished human interaction and connection,,,,
3b22632e-256d-4069-bcdb-0e2ec2d1dc55,Contact between people.,Neutral,Diminished human interaction and connection,,,,
69a7f268-66f6-40e5-8c04-c99467f6b9a4,"Cultural etiquette, rituals of traditional festivals, and cultural conventions on morality and interpersonal relationships",Neutral,Impact on traditional festivals and celebrations,Loss of cultural etiquette and social norms,,,
9ce8d664-7bc4-461d-990a-7f651cc43727,"Customs, traditions and values",Neutral,Loss of cultural traditions and rituals,Loss of cultural values and morals,,,
b932ecf6-37d0-4178-af66-08d26428cd75,"English being the predominant language, I'm worried that as time goes on our language will be slowly lost to the people. especially for developing countries, who are more attracted to Westernization as compared to preserving their cultures.",Neutral,Bias towards dominant languages and cultures,Loss of language diversity and dialects,,,
441947ca-9df3-4335-8f81-91c2324b4149,"Family values, community, language ",Neutral,Impact on family and community bonds,Loss of language diversity and dialects,,,
aa9d17b8-6286-4866-b77b-a33dda33f6bd,"Feeling of human. Also, just because English is widely spoken, and is widely used, doesnt mean the entire population knows English. Monopolizing one language can somewhat indicate the a community or two. ",Neutral,Bias towards dominant languages and cultures,Loss of cultural identity and uniqueness,,,
0900719e-f0e3-49a7-9296-0ed8d590a32b,"For example, traditional Chinese handicrafts such as embroidery, ceramics, and wood carving may be at risk of disappearing. These skills usually require years of experience and exquisite manual skills, and AI can quickly generate high-quality substitutes through algorithms, reducing the demand for handicrafts.",Neutral,Erosion of traditional arts and crafts,,,,
280b8b9a-7a5f-46f8-860e-19ea2080f3c7,Friendship and companionship,Neutral,Diminished human interaction and connection,,,,
d2961774-de8c-40fc-a603-7944ce34ed6f,Hospitality and human communication ,Positive,Diminished human interaction and connection,,,,
2c527a2c-497a-4d5a-b898-58e740039a41,Human Touch,Neutral,Diminished human interaction and connection,,,,
