Participant ID,ResponseText,Sentiment,Tag 1,Tag 2,Tag 3,Tag 4,Tag 5,Tag 6,Tag 7,Tag 8,Tag 9,Tag 10
10260202-5539-4e1c-bee8-20051fc1ec79,"A consultant is reliable when he is clear in his explanations, honest and has positive reviews",Positive,Effective communication skills,Honesty and integrity,Reliability and consistency,,,,,,,
22cb53db-68c2-41a3-ac22-e62bd9b9ff1e,A person who has confidence and can make accurate judgments,Positive,Knowledge and expertise,,,,,,,,,
393bc9e9-392b-48ef-8240-b731be521791,"A trustworthy adviser is firstly, honest in his talk. He cares mainly about your situation rather than providing vague ideas.",Neutral,Commitment to the well-being of others,Honesty and integrity,,,,,,,,
3d777fc0-4899-439d-82eb-d91fd1c705d5,"A trustworthy advisor always supports truth, is reasonable and not bias towards any individual ",Positive,Honesty and integrity,Unbiased and objective advice,,,,,,,,
8af810d8-e7d8-4160-b986-80aaccd7eece,"A trustworthy advisor earns trust through honesty, consistency, empathy, and expertise. They provide clear, truthful advice, respect your privacy, and offer guidance without judgment or pressure. They are dependable, accountable, and patient, creating a safe space for you to make informed decisions. Ultimately, trust comes from a blend of reliability, respect, and support for your well-being. ",Positive,Commitment to the well-being of others,Confidentiality and privacy,Empathy and active listening,Honesty and integrity,Knowledge and expertise,Reliability and consistency,Trustworthiness over time,,,
b6ae6638-5268-43bf-9e04-b206675254c0,A trustworthy advisor has respect of community people and help peoples when in need and take action in our interest. ,Positive,Commitment to the well-being of others,Respect for community values,Supportiveness and helpfulness,,,,,,,
6bb50096-64d9-499b-ba0b-212b6486250a,"A trustworthy advisor in my community is honest, reliable, empathetic, and respectful. They listen actively, provide unbiased advice, and follow through on commitments, aligning with both individual and collective values.",Positive,Empathy and active listening,Honesty and integrity,Reliability and consistency,Respect for community values,Transparency and openness,,,,,
2fb56887-1d0c-42cf-b91f-c63dced6c6ef,"A trustworthy advisor is always honest, even when the truth is difficult to hear. They are transparent about their knowledge, limitations, and intentions, never hiding important details or manipulating information. Example: If the advisor doesn't have all the answers to a question or situation, they acknowledge it openly and suggest where to find further guidance, rather than giving false or incomplete information.",Neutral,Ability to provide factual and evidence-based advice,Honesty and integrity,Transparency and openness,,,,,,,
8c053b09-de41-4525-86b1-649c4b3d4382,A trustworthy advisor is he who has the general public's belief and respect. Someone who can rally the people with noble intentions and stand behind noble causes.,Neutral,Honesty and integrity,Leadership qualities,Proven track record and reputation,,,,,,,
8c401083-c007-41d3-bec5-2d862e0a82fe,A trustworthy advisor is known by their honesty and the fact that they give unbiased judgement.,Positive,Honesty and integrity,Unbiased and objective advice,,,,,,,,
fa43ee8b-2dbb-4a50-8b5c-16d98a2b9452,"Actions speak louder than words, so the person must have demonstrated that he/she can be a trustworthy advisor.",Neutral,Consistency between words and actions,,,,,,,,,
62bd9581-fa57-4ffc-acfe-4c27b6ca7406,Anyone who stays informed about the latest developments or changes relevant to their advice is a trustworthy advisor.,Positive,Knowledge and expertise,,,,,,,,,
6a8ba57d-a791-4871-9d6a-c90b704c9a75,"Authenticity, Reliability, Expertise, Empathy, Active Listening, Confidentiality, Transparency, Supportiveness.",Positive,Confidentiality and privacy,Empathy and active listening,Experience and wisdom,Honesty and integrity,Supportiveness and helpfulness,Transparency and openness,,,,
aee4473b-0c2d-46ee-a063-ac8ff9ed2a18,"Beign trustworthy requires to be honest, straight forward, be inclusive and have a positive impact.",Positive,Honesty and integrity,Inclusivity and fairness,Transparency and openness,,,,,,,
900c27d7-d7ac-412d-a221-e0728fab3539,"Doing what you say you will do (being dependable and consistent) Being approachable and friendly (people trust leaders they like) Championing authenticity, empathy, and humanity. Showing support for your team members, even when they make mistakes (and admitting to your own)",Neutral,Ability to admit mistakes,Empathy and active listening,Reliability and consistency,Supportiveness and helpfulness,,,,,,
75d6112a-e7cb-4e8d-abb0-6eab30724e82,"Good reputation, high user feedback rating",Positive,Proven track record and reputation,,,,,,,,,
a3cb9966-38cb-4b55-8052-5a4e5afaf274,Honesty and truthfulness are what makes a person a trustworthy advisor,Positive,Honesty and integrity,,,,,,,,,
c7244ec8-6baa-401a-8759-48aed8e126aa,"Listening to others builds trust. Letting them voice their opinions, and being kind while speaking the truth makes someone a trustworthy advisor. ",Positive,Empathy and active listening,Honesty and integrity,,,,,,,,
c8f83e30-bc9b-49b0-b51d-1700c9e0d365,"People who have credibility and a certain social status are often strong, honest, reliable, and have wide interpersonal connections.",Positive,Experience and wisdom,Honesty and integrity,Proven track record and reputation,Reliability and consistency,,,,,,
22f34a13-a6f7-4689-9117-7f51f14b7a47,Someone who displays respect and integrity. A person who is not biased and is honest are factors in building trust.,Positive,Honesty and integrity,Unbiased and objective advice,,,,,,,,
28077245-b8c6-4398-8d19-39b7b84cf1f6,"Someone who listens carefully, provides thoughtful advice, and demonstrates empathy would be considered a trustworthy advisor in my community. They would also need to be transparent, honest, and willing to admit when they don't know the answer.",Neutral,Ability to admit mistakes,Empathy and active listening,Honesty and integrity,Transparency and openness,,,,,,
9f2b1d35-857c-4e91-9184-359699c5ca21,The person should be sound and expert in his area to trust the person,Neutral,Knowledge and expertise,,,,,,,,,
9066d5ca-23e2-46ab-8a46-5ca4b4b508cf,"They should be honest, reliable, and considered to be experienced.",Negative,Experience and wisdom,Honesty and integrity,Reliability and consistency,,,,,,,
3d5ddcc6-3779-4556-964f-1fc88dd05882,"Transparency: the advisor must openly show how he is acting, without hiding information. Competence is also essential; he must demonstrate that he is capable of helping in the task entrusted to him.",Neutral,Knowledge and expertise,Transparency and openness,,,,,,,,
d1192439-d62d-42f7-b51d-c39028508e2d,Trustworthy advisor will be empathetic towards the client and will not divulge it to others,Positive,Confidentiality and privacy,Empathy and active listening,,,,,,,,
2c8823e4-983a-4b36-9fd6-0fcf806c7fb0,When someone follows honest approach they treated as trustworthy advisor.,Positive,Honesty and integrity,,,,,,,,,
7cc8ee2f-ca73-4d61-b135-2a2cee7e6364,"When the person is honest, can provide accurate and thoughtful advice, understands everyone, transparent and be an expert in what he or she does.",Positive,Honesty and integrity,Knowledge and expertise,Transparency and openness,,,,,,,
94a124b7-120d-4057-925e-f3193c623c93,"
In my community, a trustworthy advisor is someone who consistently demonstrates honesty, reliability, and empathy, listening carefully to concerns and offering guidance that reflects a deep understanding of local values. They earn trust through actions such as following through on promises, being transparent in their advice, and maintaining respect for confidentiality, while also showing humility and openness to learning from others.",Positive,Confidentiality and privacy,Empathy and active listening,Honesty and integrity,Reliability and consistency,Transparency and openness,,,,,
fe421e57-ea04-425f-94e3-b9ae034eb5bf," A trustworthy advisor is someone who really listens cares and is honest. he/she keeps things private, give good advice without taking sides",Positive,Confidentiality and privacy,Empathy and active listening,Honesty and integrity,,,,,,,
726de971-fd1d-4d8c-bf73-d894fb897662, A trustworthy advisor shows genuine empathy and understanding towards others' concerns and situations.,Positive,Ability to relate to others' experiences,Empathy and active listening,,,,,,,,
e9db9c44-7ccf-4a89-bb8c-44847bec1b52,A consultant who can provide effective answers and can actually help people in need. A consultant who genuinely wants to help others.,Positive,Commitment to the well-being of others,Supportiveness and helpfulness,,,,,,,,
c6e79c65-91cc-45d7-bd9d-66c83cbb03d3,A person become a trustworthy advisor if he's a professional and unbiased.,Positive,Knowledge and expertise,Unbiased and objective advice,,,,,,,,
329f13ca-5461-43e1-bfdf-dd1297cd276c,"A person is trustworthy if he/she sticks to the facts even if they are bitter to accept. Trust builds over time. It needs to have reputation, a brand, a personality that I trust",Neutral,Honesty and integrity,Proven track record and reputation,Trustworthiness over time,,,,,,,
